impurity,epsilon,p,delta_a,delta_b,v_a,v_b,v_diff,curvature,exact_margin,predicted_margin,absolute_error,relative_error
entropy,,0.6000000000000001,0.02,0.01,0.0004,0.0001,0.00030000000000000003,6.0112293370373475,0.0009020500014789157,0.0009016844005556022,3.656009233134975e-07,0.0004053000639810353
entropy,,0.6000000000000001,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,6.0112293370373475,0.005649878092425675,0.005635527503472514,1.4350588953161193e-05,0.0025399820524269084
entropy,,0.6000000000000001,0.08,0.04,0.0064,0.0016,0.0048000000000000004,6.0112293370373475,0.014521858378926056,0.014426950408889635,9.490797003642096e-05,0.006535525107044857
entropy,,0.65,0.02,0.01,0.0004,0.0001,0.00030000000000000003,6.341516663248191,0.000951714380864277,0.0009512274994872287,4.86881377048231e-07,0.0005115835032418876
entropy,,0.65,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,6.341516663248191,0.00596431588538493,0.00594517187179518,1.914401358974957e-05,0.003209758496638385
entropy,,0.65,0.08,0.04,0.0064,0.0016,0.0048000000000000004,6.341516663248191,0.015346666747924287,0.01521963999179566,0.0001270267561286273,0.008277156089664115
entropy,,0.7,0.02,0.01,0.0004,0.0001,0.00030000000000000003,6.86997638518554,0.0010312182163182415,0.0010304964577778312,7.217585404103565e-07,0.0006999086410510193
entropy,,0.7,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,6.86997638518554,0.00646906049557916,0.0064406028611114444,2.8457634467715306e-05,0.004399036689665021
entropy,,0.7,0.08,0.04,0.0064,0.0016,0.0048000000000000004,6.86997638518554,0.016677776138691258,0.0164879433244453,0.00018983281424595974,0.011382381719680304
entropy,,0.75,0.02,0.01,0.0004,0.0001,0.00030000000000000003,7.694373551407804,0.0011553560612134195,0.0011541560327111707,1.2000285022487674e-06,0.0010386655183930314
entropy,,0.75,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,7.694373551407804,0.007261006594787345,0.007213475204444818,4.753139034252649e-05,0.006546115847994014
entropy,,0.75,0.08,0.04,0.0064,0.0016,0.0048000000000000004,7.694373551407804,0.018786417373365505,0.01846649652337873,0.00031992084998677325,0.017029369870188337
restricted_quadratic_global,0.15,0.25,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186812918,0.0013186813186813187,2.688821387764051e-17,2.0390228857211136e-14
restricted_quadratic_global,0.15,0.25,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758323,0.008241758241758242,8.153200337090993e-17,9.892549742336973e-15
restricted_quadratic_global,0.15,0.25,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901002,0.0210989010989011,9.71445146547012e-17,4.6042452258217965e-15
restricted_quadratic_global,0.15,0.3,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186814028,0.0013186813186813187,8.413408858487514e-17,6.380168384352625e-14
restricted_quadratic_global,0.15,0.3,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758212,0.008241758241758242,2.949029909160572e-17,3.5781562897815065e-15
restricted_quadratic_global,0.15,0.3,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901113,0.0210989010989011,1.3877787807814457e-17,6.577493179745389e-16
